freq,unit,iccs,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,ICCS0101,AL	88 	82 	118 	124 	126 	107 	98 	54 	71 	52 	51 	58 	52 	61 
A,NR,ICCS0101,AL0	88 	82 	118 	124 	126 	107 	98 	54 	71 	52 	51 	58 	52 	61 
A,NR,ICCS0101,AL01	40 	37 	54 	53 	51 	49 	41 	19 	22 	19 	26 	18 	21 	21 
A,NR,ICCS0101,AL011	3 	4 	6 	8 	5 	7 	4 	1 	0 	3 	5 	3 	0 	4 
A,NR,ICCS0101,AL012	8 	15 	15 	16 	8 	13 	11 	5 	4 	6 	6 	4 	9 	3 
A,NR,ICCS0101,AL013	4 	3 	5 	1 	9 	3 	5 	1 	2 	1 	3 	0 	1 	1 
A,NR,ICCS0101,AL014	6 	9 	10 	14 	11 	15 	7 	6 	8 	3 	3 	6 	6 	4 
A,NR,ICCS0101,AL015	19 	6 	18 	14 	18 	11 	14 	6 	8 	6 	9 	5 	5 	9 
A,NR,ICCS0101,AL02	24 	24 	36 	34 	32 	35 	30 	16 	24 	11 	12 	17 	13 	19 
A,NR,ICCS0101,AL021	8 	3 	11 	8 	6 	4 	7 	4 	6 	1 	2 	5 	5 	9 
A,NR,ICCS0101,AL022	16 	21 	25 	26 	26 	31 	23 	12 	18 	10 	10 	12 	8 	10 
A,NR,ICCS0101,AL03	24 	21 	28 	37 	43 	23 	27 	19 	25 	22 	13 	23 	18 	21 
A,NR,ICCS0101,AL031	5 	1 	2 	5 	5 	2 	3 	2 	2 	0 	1 	0 	2 	0 
A,NR,ICCS0101,AL032	7 	6 	7 	13 	17 	6 	9 	7 	5 	5 	4 	5 	3 	10 
A,NR,ICCS0101,AL033	2 	1 	0 	0 	2 	3 	3 	2 	3 	2 	1 	4 	3 	2 
A,NR,ICCS0101,AL034	5 	6 	7 	8 	9 	3 	6 	4 	4 	3 	0 	4 	4 	1 
A,NR,ICCS0101,AL035	5 	7 	12 	11 	10 	9 	6 	4 	11 	12 	7 	10 	6 	8 
A,NR,ICCS0101,AT	58 	51 	59 	82 	88 	62 	40 	42 	49 	61 	73 	74 	54 	59 
A,NR,ICCS0101,AT1	28 	29 	33 	45 	43 	36 	18 	14 	28 	28 	45 	44 	28 	27 
A,NR,ICCS0101,AT11	2 	2 	5 	1 	0 	2 	1 	0 	1 	2 	1 	3 	3 	3 
A,NR,ICCS0101,AT111	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,NR,ICCS0101,AT112	1 	0 	2 	1 	0 	2 	0 	0 	1 	0 	1 	1 	2 	2 
A,NR,ICCS0101,AT113	1 	2 	3 	0 	0 	0 	1 	0 	0 	2 	0 	2 	0 	1 
A,NR,ICCS0101,AT12	9 	7 	11 	18 	18 	10 	6 	5 	10 	12 	10 	17 	14 	10 
A,NR,ICCS0101,AT121	0 	0 	1 	4 	3 	1 	2 	0 	0 	0 	0 	3 	1 	1 
A,NR,ICCS0101,AT122	2 	1 	3 	5 	5 	5 	1 	2 	2 	1 	4 	4 	5 	1 
A,NR,ICCS0101,AT123	1 	2 	0 	2 	1 	0 	0 	1 	4 	5 	0 	1 	2 	3 
A,NR,ICCS0101,AT124	0 	1 	1 	1 	0 	0 	2 	0 	1 	2 	0 	2 	1 	0 
A,NR,ICCS0101,AT125	1 	1 	4 	1 	1 	3 	1 	1 	0 	1 	1 	2 	2 	3 
A,NR,ICCS0101,AT126	1 	1 	0 	2 	4 	0 	0 	0 	1 	1 	2 	2 	1 	1 
A,NR,ICCS0101,AT127	4 	1 	2 	3 	4 	1 	0 	1 	2 	2 	3 	3 	2 	1 
A,NR,ICCS0101,AT13	17 	20 	17 	26 	25 	24 	11 	9 	17 	14 	34 	24 	11 	14 
A,NR,ICCS0101,AT130	17 	20 	17 	26 	25 	24 	11 	9 	17 	14 	34 	24 	11 	14 
A,NR,ICCS0101,AT2	9 	9 	8 	9 	10 	7 	9 	11 	5 	11 	10 	11 	8 	11 
A,NR,ICCS0101,AT21	2 	5 	4 	4 	4 	3 	3 	6 	0 	2 	2 	4 	2 	4 
A,NR,ICCS0101,AT211	1 	3 	2 	1 	2 	1 	3 	5 	0 	1 	2 	2 	2 	2 
A,NR,ICCS0101,AT212	1 	0 	1 	1 	2 	1 	0 	1 	0 	0 	0 	0 	0 	2 
A,NR,ICCS0101,AT213	0 	2 	1 	2 	0 	1 	0 	0 	0 	1 	0 	2 	0 	0 
A,NR,ICCS0101,AT22	7 	4 	4 	5 	6 	4 	6 	5 	5 	9 	8 	7 	6 	7 
A,NR,ICCS0101,AT221	2 	1 	1 	2 	0 	2 	3 	4 	3 	5 	3 	1 	1 	5 
A,NR,ICCS0101,AT222	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	2 	0 
A,NR,ICCS0101,AT223	3 	1 	1 	0 	1 	1 	2 	0 	1 	1 	3 	0 	1 	0 
A,NR,ICCS0101,AT224	1 	2 	1 	2 	4 	1 	1 	1 	0 	1 	1 	3 	1 	1 
A,NR,ICCS0101,AT225	1 	0 	1 	0 	1 	0 	0 	0 	1 	0 	1 	2 	0 	1 
A,NR,ICCS0101,AT226	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	1 	0 
A,NR,ICCS0101,AT3	21 	13 	18 	28 	35 	19 	13 	17 	16 	22 	18 	19 	18 	21 
A,NR,ICCS0101,AT31	14 	4 	10 	9 	15 	6 	7 	7 	9 	5 	6 	6 	7 	8 
A,NR,ICCS0101,AT311	2 	0 	2 	1 	1 	1 	1 	0 	2 	0 	2 	1 	0 	0 
A,NR,ICCS0101,AT312	10 	3 	4 	5 	7 	3 	2 	6 	4 	2 	1 	2 	4 	4 
A,NR,ICCS0101,AT313	0 	0 	3 	1 	3 	1 	0 	0 	1 	1 	1 	0 	3 	1 
A,NR,ICCS0101,AT314	1 	0 	0 	1 	1 	1 	2 	1 	2 	1 	1 	1 	0 	2 
